ain,supplied_address,address_from_apn,latitude,longitude,source_files
2127002013,6452 N GEYSER AVE ,"6452 GEYSER AVE, LOS ANGELES CA 91335",34.188235,-118.54187,2015 Registered Foreclosed Properties.csv
7462006019,566 W 18TH ST ,"566 W 18TH ST, LOS ANGELES CA 90731",41.857857,-87.641506,2015 Registered Foreclosed Properties.csv
4308015014,2705 S KRIM DR ,"2705 KRIM DR, LOS ANGELES CA 90064",34.041837,-118.400223,2015 Registered Foreclosed Properties.csv
2151037040,20866 W CLARK ST ,"20866 CLARK ST, LOS ANGELES CA 91367",40.4703321,-98.553569,2015 Registered Foreclosed Properties.csv
2368004074,12021 GUERIN ST ,"12021 GUERIN ST, 103, STUDIO CITY CA 91604",34.146161,-118.393065,2015 Registered Foreclosed Properties.csv
4235012043,12515 W PACIFIC AVE ,"12515 PACIFIC AVE, UNIT 209, LOS ANGELES CA 90066",33.8078456,-117.9589809,2015 Registered Foreclosed Properties.csv
6033004044,1335 W 84TH ST ,"1335 W 84TH ST, LOS ANGELES CA 90044",25.8986868,-80.3107586,2015 Registered Foreclosed Properties.csv
7439026168,1415 W LOMITA BLVD ,"1435 LOMITA BLVD, 208, LOS ANGELES CA 90710",33.7978178,-118.3016903,2015 Registered Foreclosed Properties.csv
2608019004,17125 W SUNDERLAND DR ,"17125 SUNDERLAND DR, LOS ANGELES CA 91344",34.294014,-118.506869,2015 Registered Foreclosed Properties.csv
2218013006,14833 W VALERIO ST ,"14833 VALERIO ST, LOS ANGELES CA 91405",34.205031,-118.456486,2015 Registered Foreclosed Properties.csv
5524018001,634 N HIGHLAND AVE ,"634 N HIGHLAND AVE, LOS ANGELES CA 90036",44.0108226,-97.1293361,2015 Registered Foreclosed Properties.csv
2604009041,15828 W LARKSPUR ST ,"15848 LARKSPUR ST, LOS ANGELES CA 91342",34.3226295,-118.4556993,2015 Registered Foreclosed Properties.csv
5221030006,5075 E BOHLIG ROAD ,"5075 BOHLIG RD, LOS ANGELES CA 90032",34.0695849,-118.173069,2015 Registered Foreclosed Properties.csv
2104013005,18936 W KESWICK ST ,"18936 KESWICK ST, LOS ANGELES CA 91335",34.209694,-118.54614,2015 Registered Foreclosed Properties.csv
5216010027,2579 N LOMBARDY BLVD ,"2579 LOMBARDY BLVD, LOS ANGELES CA 90032",37.5665974,-77.4445658,2015 Registered Foreclosed Properties.csv
6069006015,1822 E 109TH ST ,"1822 E 109TH ST, LOS ANGELES CA 90059",33.936887,-118.239958,2015 Registered Foreclosed Properties.csv
5462013080,3443 LOMA LADA DR ,"3443 LOMA LADA DR, LOS ANGELES CA 90065",34.107866,-118.229171,2015 Registered Foreclosed Properties.csv
5071012041,4500 W SATURN ,"4500 SATURN ST, LOS ANGELES CA 90019",31.8531197,-102.4767648,2015 Registered Foreclosed Properties.csv
6061031008,434 W 105TH ST ,"434 W 105TH ST, LOS ANGELES CA 90003",41.7033896,-87.6343643,2015 Registered Foreclosed Properties.csv
5535002022,717 N RIDGEWOOD PL ,"717 N RIDGEWOOD PL, LOS ANGELES CA 90038",34.084095,-118.314947,2015 Registered Foreclosed Properties.csv
2215004086,7447 N WOODMAN AVE ,"7439 WOODMAN AVE, NO 29, LOS ANGELES CA 91405",34.2094482,-118.4311664,2015 Registered Foreclosed Properties.csv
6033018017,1130 W 81ST ST ,"1130 W 81ST ST, LOS ANGELES CA 90044",41.7468865,-87.652429,2015 Registered Foreclosed Properties.csv
5556031022,1646 N WOODS DR ,"1646 WOODS DR, LOS ANGELES CA 90069",33.586801,-83.2615785,2015 Registered Foreclosed Properties.csv
6050032011,854 E CENTURY BLVD ,"854 E CENTURY BLVD, LOS ANGELES CA 90002",33.945254,-118.258899,2015 Registered Foreclosed Properties.csv
5052025017,2110 W 30TH ST ,"2110 W 30TH ST, LOS ANGELES CA 90018",39.8099652,-86.1978074,2015 Registered Foreclosed Properties.csv
2508012013,14144 W SAYRE ST ,"14144 SAYRE ST, LOS ANGELES CA 91342",34.30299,-118.441335,2015 Registered Foreclosed Properties.csv
2130027034,19350 W SHERMAN WAY ,"19350 SHERMAN WAY, NO 121, LOS ANGELES CA 91335",34.2010375,-118.5262148,2015 Registered Foreclosed Properties.csv
5128002016,234 E 27TH ST ,"234 E 27TH ST, LOS ANGELES CA 90011",39.0781252,-94.5816132,2015 Registered Foreclosed Properties.csv
2102026100,8105 N CANBY AVE ,"8161 CANBY AVE, NO 3, LOS ANGELES CA 91335",34.216502,-118.534629,2015 Registered Foreclosed Properties.csv
6016021026,2028 W 67TH ST ,"2028 W 67TH ST, LOS ANGELES CA 90047",41.7720757,-87.6749204,2015 Registered Foreclosed Properties.csv
5303005016,4425 N BERENICE AVE ,"4425 BERENICE AVE, LOS ANGELES CA 90031",34.0931724,-118.202253,2015 Registered Foreclosed Properties.csv
2629003126,12665 N EAGLE ROCK WAY ,"12727 EAGLE ROCK WAY, LOS ANGELES CA 91331",35.187109,-106.4984295,2015 Registered Foreclosed Properties.csv
6048035050,9722 S HOLMES AVE ,"9722 HOLMES AVE, LOS ANGELES CA 90002",41.560235,-81.5755006,2015 Registered Foreclosed Properties.csv
2103019018,7812 N RHEA AVE ,"7812 RHEA AVE, LOS ANGELES CA 91335",34.212388,-118.541186,2015 Registered Foreclosed Properties.csv
5160020014,417 N BIXEL ST ,"417 N BIXEL ST, LOS ANGELES CA 90026",34.065083,-118.254759,2015 Registered Foreclosed Properties.csv
2162019059,5403 NEWCASTLE ,"5403 NEWCASTLE AVE, NO 23, LOS ANGELES CA 91316",28.1041425,-82.6919557,2015 Registered Foreclosed Properties.csv
2517005003,13878 W HUBBARD ST ,"13878 HUBBARD ST, LOS ANGELES CA 91342",32.8091612,-98.1224352,"2015 Registered Foreclosed Properties.csv, Department of Building & Safety Vacant Buildings.csv"
2106009029,7727 N LUBAO AVE ,"7727 LUBAO AVE, LOS ANGELES CA 91306",34.211607,-118.568166,2015 Registered Foreclosed Properties.csv
5471011016,817 N TERRACE ,"817 TERRACE 49, LOS ANGELES CA 90042",41.7589508,-94.0276312,2015 Registered Foreclosed Properties.csv
2509007039,13973 W HERRON ST ,"",34.3054014,-118.437919,2015 Registered Foreclosed Properties.csv
6033004002,1259 W 83RD PL ,"1258 W 83RD ST, LOS ANGELES CA 90044",33.9634444,-118.2979007,2015 Registered Foreclosed Properties.csv
6050024008,628 E 97TH ST ,"628 E 97TH ST, LOS ANGELES CA 90002",33.948102,-118.264082,2015 Registered Foreclosed Properties.csv
5136016009,1119 S GRAND VIEW ST ,"1119 S GRAND VIEW ST, LOS ANGELES CA 90006",34.050811,-118.283563,2015 Registered Foreclosed Properties.csv
2316027019,7313 N CAMELLIA AVE ,"7313 CAMELLIA AVE, LOS ANGELES CA 91605",45.6152579,-122.6843198,2015 Registered Foreclosed Properties.csv
6035013001,2158 W 82ND ST ,"2158 W 82ND ST, LOS ANGELES CA 90047",40.6696162,-98.4107884,2015 Registered Foreclosed Properties.csv
5219013005,3528 N CHADWICK DR ,"3526 CHADWICK DR, LOS ANGELES CA 90032",30.6876569,-88.1082229,2015 Registered Foreclosed Properties.csv
2723019155,10456 N BROOKE AVE ,"10456 BROOKE AVE, LOS ANGELES CA 91311",40.8264328,-73.9117653,2015 Registered Foreclosed Properties.csv
2162009068,5414 NEWCASTLE ,"5414 NEWCASTLE AVE, NO 20, LOS ANGELES CA 91316",28.1041425,-82.6919557,2015 Registered Foreclosed Properties.csv
5189004026,938 1 2 S CAMULOS ST ,"938 CAMULOS ST, LOS ANGELES CA 90023",34.030715,-118.210375,"2015 Registered Foreclosed Properties.csv, Department of Building & Safety Vacant Buildings.csv"
5090028032,837 S WINDSOR BLVD ,"837 S WINDSOR BLVD, 11, LOS ANGELES CA 90005",34.0588525,-118.3234105,2015 Registered Foreclosed Properties.csv
5054007019,2929 S KENWOOD AVE ,"2927 KENWOOD AVE, LOS ANGELES CA 90007",41.8086044,-87.5937739,2015 Registered Foreclosed Properties.csv
6071007007,745 1 2 E 111TH PL ,"745 E 111TH PL, LOS ANGELES CA 90059",41.691419,-87.622851,2015 Registered Foreclosed Properties.csv
4007022016,6219 1 2 S VAN NESS AVE ,"6219 S VAN NESS AVE, LOS ANGELES CA 90047",37.7748699,-122.4186111,2015 Registered Foreclosed Properties.csv
2822033003,11431 N DORAL AVE ,"11431 DORAL AVE, LOS ANGELES CA 91326",32.4293897,-111.3064057,2015 Registered Foreclosed Properties.csv
2747012039,10206 N OWENSMOUTH AVE ,"10206 OWENSMOUTH AVE, LOS ANGELES CA 91311",34.255622,-118.60133,2015 Registered Foreclosed Properties.csv
2696023014,17154 W TULSA ST ,"17154 TULSA ST, LOS ANGELES CA 91344",36.1780823,-94.5536385,2015 Registered Foreclosed Properties.csv
6023022033,837 E 77TH ST ,"835 E 77TH ST, LOS ANGELES CA 90001",44.863711,-93.2623289,2015 Registered Foreclosed Properties.csv
6067005019,2026 E 110TH ST ,"2026 E 110TH ST, LOS ANGELES CA 90059",33.93489,-118.236254,2015 Registered Foreclosed Properties.csv
6003014025,1057 W 60TH PL ,"1055 W 60TH PL, LOS ANGELES CA 90044",33.9851749,-118.2935417,2015 Registered Foreclosed Properties.csv
