Depart #,Dept,Bldg #,Sub ID,Maint Dist,Street #,Street Dir,Street Name,Street Type,Bldg Name,Community,Zip Code,Council Dist,Thomas Bros,Square Ft,Lease #,APN
63,VAR,633,*,SD,5407,,11TH,AV,CRENSHAW SLAUSON,LOS ANGELES,90016,6,673F4,0,,5006008900
63,VAR,634,*,SD,5701,,11TH,AV,CRENSHAW SLAUSON,LOS ANGELES,90043,8,673F6,0,,5006009902
50,R&P,77,*,SD,6116,,11TH,AV,11TH AVE PARK,Los Angeles,90043,8,673F6,,,
25,STM,143,*,,870,W,120TH,ST,LANDSCAPE MEDIAN ISLAND,,90044,0,,0,,
1,DGS,38,*,SD,150,W,12TH,ST,DISPATCH OFFICE FLEET SERVICES,LOS ANGELES,90015,9,634E6,,R/W 5000-009,
50,R&P,140,*,SD,845,W,12TH,ST,DANIELS FIELD RECREATION CTR,SAN PEDRO,90731,15,824B6,0,,7454022900
50,R&P,592,*,SD,840,W,149TH,ST,ROSECRANS RECREATION CENTER,GARDENA,90247,15,734A3,0,,6119025900
50,R&P,592,A,SD,850,W,149TH,ST,ROSECRANS PLAYGROUND REC & PARKS SERVICE,GARDENA,90247,15,,0,,6119025900
60,VAR,636,*,SD,629,W,16TH,ST,RESIDENCE,SAN PEDRO,90731,15,824B6,0,,7454034901
50,R&P,907,A,SD,1,,17TH,AV,REC & PARKS SERVICE,VENICE,90291,6,671G6,0,,4226001903
50,R&P,716,A,SD,1001,W,18TH,ST,REC & PARKS SERVICE,,90015,1,634 C5,0,,
21,SAN,174,*,SD,624,W,190TH,ST,PUMPING PLANT #74,LOS ANGELES,90248,15,764C2,848,,
9,POL,63,*,SD,100,W,1ST,ST,POLICE ADMINISTRATION BUILDING,LOS ANGELES,90012,9,634 H4,290160,,5173012900
1,DGS,133,*,SD,108,W,1ST,ST,PARKING,LOS ANGELES,90012,9,634G4,0,,
1,DGS,11,*,CC,111,E,1ST,ST,CITY HALL SOUTH,LOS ANGELES,90012,9,634F4,,L-5221,5161014902
9,POL,29,*,SD,250,E,1ST,ST,KAJIMA BUILDING,LOS ANGELES,90012,9,634G4,22479,4999-736,5161016014
50,R&P,570,*,SD,275,W,1ST,ST,RANCHO SAN PEDRO,SAN PEDRO,90731,15,824C4,0,,
33,VAR,1,*,CC,305,E,1ST,ST,DEPARTMENT OF NEIGHBORHOOD EMPOWERMENT OFFICE,LOS ANGELES,90012,9,634F4,1108,,5161012908
9,POL,92,*,CC,307,E,1ST,ST,LAPD Little Tokyo Community Substation,LOS ANGELES,90012,9,634F4,2327,,5161012908
60,VAR,520,*,CC,355,E,1ST,ST,STORE BUILDING,LOS ANGELES,90012,9,634F4,25000,28888-13G,5161012903
60,VAR,521,*,CC,357,E,1ST,ST,CARL SHIBA DBA KOHARA,LOS ANGELES,90012,9,634F4,1000,28888-13B,5161012903
60,VAR,522,*,CC,359,E,1ST,ST,TERUO IMAIZUM DBA RESTRAUNT IMAI,LOS ANGELES,90012,9,634F4,596,28888-13C,5161012903
60,VAR,523,*,CC,361,E,1ST,ST,AKIO KONISHI DBA AKI BARBER SHOP,LOS ANGELES,90012,9,634F4,440,28888-13D,5161012903
60,VAR,524,*,CC,365,E,1ST,ST,WALTER TATSUNO,LOS ANGELES,90012,9,634F4,1304,28888-13E,5161012903
60,VAR,525,*,CC,369,E,1ST,ST,TOKYO GIFT SHOP,LOS ANGELES,90012,9,634F4,28888,,5161012903
9,POL,3,Q,SD,715,E,1ST,ST,TEMP- HOLLENBECK STATION TRAILER,Los Angeles,90012,9,634 H4,,,
52,,110,*,,950,W,1ST,ST,DWP SAN PEDRO DEISTRICT HEADQUARTERS,SAN PEDRO,90732,,824A4,,,
4,DGS,4,*,SD,1001,E,1ST,ST,PICKLE WORKS BUILDING,LOS ANGELES,90012,9,634H4,80000,,
47,CDD,13,*,SD,1505,E,1ST,ST,"TENANT: UNITED WAY, INC",LOS ANGELES,90033,14,634J4,17023,L-9965,
1,GSD,100,*,SD,1803,E,1ST,ST,Mariachi Plaza - Historical Monument Kiosk,Los Angeles,90033,14,634J4,,,5174014018
29,COU,20,*,,1868,E,1ST,ST,COUNCIL DISTRICT # 14 OFFICE,Los Angeles,90033,14,,1875,,
29,COU,8,*,,1870,,1ST,ST,JOSE HUIZAR TEMP FIELD OFFICE,Los Angeles,,14,,,R/W # 5000-024,
9,POL,3,F,SD,1922,E,1ST,ST,PARKING LOT FOR HOLLENBECK DETS,BOYLE HGHTS,90033,14,635A5,0,4999-671,5174016028
9,POL,3,E,SD,1936,E,1ST,ST,HOLLENBECK HOMICIDE,BOYLE HGHTS,90033,14,635A5,16000,4999-671,5174016031
60,VAR,3,*,SD,2015,E,1ST,ST,TENANT: HOLLENBECK POLICE/BUSINESSMEN'S COUNCILINC,BOYLE HGHTS,90033,14,635A5,0,L-9156-R,5183007900
1,DGS,85,*,ND,2100,,1ST,ST,GROUND LEASE FOR MTA CHILD CARE,SYLMAR,91342,7,482 F6,,33032-1Z,
9,POL,3,*,SD,2111,E,1ST,ST,HOLLENBECK POLICE STATION,BOYLE HGHTS,90033,14,635A5,15980,,5183006901
9,POL,3,G,SD,2111,E,1ST,ST,VEHICLE MAINTENANCE-HOLLENBECK POLICE STATION,BOYLE HGHTS,90033,14,635A5,,,5183006901
