row	Park Property	Sub-Park Name	Address	City	Zip	Rgn.	CD 1	CD 2	CD 3	Acreage	Sub Acreage	Board Report #	Acquisition Date	Thomas Guide	Former/Alternate Name	APN	Comments	Part ofÌä
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5302-006-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5302-001-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5302-002-901		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5302-002-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5302-031-903		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5304-025-902		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5304-018-901		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5304-019-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5304-020-901		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5304-021-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5305-001-910		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5304-022-901		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5304-023-903		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5304-024-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5303-015-901		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5303-015-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5303-016-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5303-017-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5303-018-902		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5303-019-902		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5303-020-905		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5303-021-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5303-022-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5303-025-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5303-023-903		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5303-010-900		
30	ARROYO SECO PARK		5568 VIA MARISOL			M	14			85.97				595-D3		5303-011-900		
31	* Sub-Park (Arroyo Seco Park)	SAN PASQUAL PARK	934 N. SAN PASCUAL AVE.			M	14				13.36			595-D3				
32	* Sub-Park (Arroyo Seco Park)	HERMON DOG PARK	5566 VIA MARISOL			M	14				2.21			595-D3				
33	* Sub-Park (Arroyo Seco Park)	HERMON PARK	5566 VIA MARISOL			M	14				22.43			595-D3				
34	ARTS DISTRICT PARK		501 S. HEWITT ST.			M	14			0.5				634-H5				
35	ASCOT HILLS PARK		4371 MULTNOMAH ST.			M	14			92.44				635-D1				
36	AVALON-SAN PEDRO  PARK		4025 AVALON BLVD.			P	9			0.94				674-D2		5113-002-901		
37	AVERILL PARK		1300 DODSON AVE.			P	15			10.75				823-J6		7560-023-900		
38	BALDWIN HILLS RECREATION CENTER		5401 HIGHLIGHT PL.			W	10			10.87				673-B1		5047-014-900		
39	BANDINI CANYON PARK		430 N. BANDINI ST.			P	15			4.97				824-A4		7447-008-901		
40	BANNING PARK.		1331 N. EUBANK AVE.			P	15			21.09				794-F5		7422-017-900		
41	BANNING HIGH SCHOOL POOL		1450 N. AVALON BLVD.			P	15			0.5				794-E4		7422-009-913	Leased From LAUSD; RECREATION & Parks Owns the Pool	
42	BARNSDALL PARK		4800 W. HOLLYWOOD BLVD.			M	13			14.59				594-A4		5543-009-900		
42	BARNSDALL PARK		4800 W. HOLLYWOOD BLVD.			M	13			14.59				594-A4		5543-009-902		
42	BARNSDALL PARK		4800 W. HOLLYWOOD BLVD.			M	13			14.59				594-A4		5543-012-900		
42	BARNSDALL PARK		4800 W. HOLLYWOOD BLVD.			M	13			14.59				594-A4		5543-010-900		
42	BARNSDALL PARK		4800 W. HOLLYWOOD BLVD.			M	13			14.59				594-A4		5543-011-901		
43	BARRINGTON RECREATION CENTER		333 S. BARRINGTON AVE.			P	11			18.64				631-H3		4401-009-900		
44	* Sub-Park (Barrington Rec Ctr)	BARRINGTON DOG PARK	333 S. BARRINGTON AVE.			P	11				1.56			631-H3		4401-009-900		
45	BEE CANYON PARK		17301 SESNON BLVD.			V	12			22.21				481-C4		2602-007-901		
45	BEE CANYON PARK		17301 SESNON BLVD.			V	12			22.21				481-C4		2602-006-900		
45	BEE CANYON PARK		17301 SESNON BLVD.			V	12			22.21				481-C4		2602-023-900		
46	BELL CANYON PARK 		24544 W. BELL CANYON RD.			V	12			122.78				529-C5		2031-009-906		
47	BELLAIRE AVENUE PARK		7960 N. BELLAIRE AVE.			V	2			0.14				532-E2				
48	BELLEVUE RECREATION CENTER		826 N. LUCILLE AVE.			M	13			9.11				594-B6		5427-018-900		
48	BELLEVUE RECREATION CENTER		826 N. LUCILLE AVE.			M	13			9.11				594-B6		5427-018-901		
49	BERNSON (HOLLEIGH) MEMORIAL PARK		20500 W. SESNON BLVD.			V	12			12.51				480-D6				
50	BEVERLY GLEN PARK		2448 N. ANGELO DR.                          			W	5			85.74				592-B2		4382-029-900		
50	BEVERLY GLEN PARK		2448 N. ANGELO DR.                          			W	5			85.74				592-B2		4382-029-903		
50	BEVERLY GLEN PARK		2448 N. ANGELO DR.                          			W	5			85.74				592-B2		4382-029-901		
50	BEVERLY GLEN PARK		2448 N. ANGELO DR.                          			W	5			85.74				592-B2		4379-014-903		
51	BOGDANOVICH (MARTIN J.) RECREATION CENTER		1920 W. CUMBRE DR.			P	15			13.52				823-H6	FORMERLY SAN PEDRO PARK	7561-025-902	Formerly San Pedro Park	
52	BOYAR (MAE) RECREATION CENTER		23936 HIGHLANDER RD.			V	12			2.23				529-E6		2028-028-900		
53	BOYLE HEIGHTS  SPORTS CENTER		933 S. MOTT ST.			M	14			8.48				635-A6		5189-008-901		
53	BOYLE HEIGHTS  SPORTS CENTER		933 S. MOTT ST.			M	14			8.48				635-A6		5189-008-908		
