Depart #,Dept,Bldg #,Sub ID,Maint Dist,Street #,Street Dir,Street Name,Street Type,Bldg Name,Community,Zip Code,Council Dist,Thomas Bros,Square Ft,Lease #,APN,compiled_address,compiled_lat,compiled_lng
50,R&P,668,*,SD,345,E,51ST,ST,SOUTH PARK,LOS ANGELES,90037,9,674D4,0,"","","345 E 51st St, Los Angeles, CA 90011",33.996593579649925,-118.26852165162563
50,R&P,668,A,SD,363,E,51ST,ST,SOUTH PARK,LOS ANGELES,90037,9,674D4,0,"","","363 E 51st St, Los Angeles, CA 90011",33.99659492075443,-118.26808847486973
50,R&P,668,B,SD,367,E,51ST,ST,SOUTH PARK,LOS ANGELES,90037,9,674D4,0,"","","367 E 51st St, Los Angeles, CA 90011",33.99659492075443,-118.26807305216789
50,R&P,668,C,SD,421,E,51ST,ST,SOUTH PARK,LOS ANGELES,90037,9,674D4,0,"","","421 E 51st St, Los Angeles, CA 90011",33.996596932411194,-118.26709069311619
50,R&P,108,*,SD,1950,W,54TH,ST,CHESTERFIELD SQUARE PARK,LOS ANGELES,90043,8,673H5,0,"",5005019900,"Chesterfield Square, CA",33.99984359741211,-118.30976104736328
50,R&P,532,I,CC,425,W,6TH,ST,PERSHING SQUARE,Los Angeles,90013,9,634F4,0,"",5149031900,"90013, CA",34.044315338134766,-118.24076080322266
50,R&P,532,E,CC,431,W,6TH,ST,PERSHING SQUARE,Los Angeles,90013,9,634F4,0,"",5149031900,"90013, CA",34.044315338134766,-118.24076080322266
50,R&P,408,I,SD,2126,W,6TH,ST,MacARTHUR PARK,LOS ANGELES,90057,2,634B3,0,"",5141003900,"McArthur Park, CA",34.05794906616211,-118.27413940429688
50,R&P,408,F,SD,2128,W,6TH,ST,MacARTHUR PARK,WESTLAKE,90057,1,634B3,0,"",5141003900,"Westlake, CA",34.05970001220703,-118.2750015258789
50,R&P,408,G,SD,2226,W,6TH,ST,MacARTHUR PARK,WESTLAKE,90057,2,634B3,0,"",5141003900,"Westlake, CA",34.05970001220703,-118.2750015258789
50,R&P,408,*,SD,2230,W,6TH,ST,MacARTHUR PARK,WESTLAKE,90057,1,636H2,0,"",5141003900,"Westlake, CA",34.05970001220703,-118.2750015258789
50,R&P,408,H,SD,2400,W,6TH,ST,MacARTHUR PARK,LOS ANGELES,90057,2,634B3,0,"",5141005007,"McArthur Park, CA",34.05794906616211,-118.27413940429688
25,STM,7,*,SD,4184,"",6TH,AV,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90008,6,673F3,0,"","","90008, CA",34.00904083251953,-118.34813690185547
50,R&P,101,*,SD,1900,W,76TH,ST,CIRCLE PARK,HYDE PARK,90047,8,703G1,0,"",6017018001,"1900 W 76th St, Los Angeles, CA 90047",33.970607,-118.311355
50,R&P,100,*,SD,2600,W,76TH,ST,CIRCLE PARK,HYDE PARK,90043,8,703G1,0,"","","Hyde Park Mobile Home Park, GA",33.634498596191406,-84.31880187988281
9,POL,38,A,SD,111,W,7TH,ST,"L & R AUTO PARKS, INC",LOS ANGELES,90014,9,634F5,481,4999-401P,5144001011,"L 7, Powell, WY 82435",44.781620025634766,-108.65400695800781
50,R&P,464,A,ND,1032,"",7TH,AV,OAKWOOD RECREATION CENTER,VENICE,90291,11,671H5,0,"","","Venice, Ven., Italy",45.43769836425781,12.31779956817627
50,R&P,408,J,SD,2211,W,7TH,ST,MacARTHUR PARK,LOS ANGELES,90057,2,634B3,0,"",5141003900,"McArthur Park, CA",34.05794906616211,-118.27413940429688
50,R&P,408,A,SD,2301,W,7TH,ST,MacARTHUR PARK,WESTLAKE,90010,1,634B3,0,"",5141003900,"Westlake, CA",34.05970001220703,-118.2750015258789
50,R&P,408,B,SD,2321,W,7TH,ST,MacARTHUR PARK,WESTLAKE,90010,1,634B3,0,"",5141003900,"Westlake, CA",34.05970001220703,-118.2750015258789
26,STM,98,*,SD,4236,"",8TH,AV,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90008,0,673F3,0,"","","90008, CA",34.00904083251953,-118.34813690185547
25,STM,8,*,SD,4262,"",8TH,AV,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90008,6,673F3,0,"","","90008, CA",34.00904083251953,-118.34813690185547
25,STM,138,*,"",4326,"",8TH,AV,LANDSCAPE MEDIAN ISLAND,"",90008,0,"",0,"","","4326 8th Ave, Los Angeles, CA 90008",34.004753,-118.325393
25,STM,131,*,"",4070,"",9TH,AV,LANDSCAPE MEDIAN ISLAND,"",90008,0,"",0,"","","90008, CA",34.00904083251953,-118.34813690185547
25,STM,10,*,SD,4075,"",9TH,AV,LANDSCAPE MEDIAN ISLAND,LOS ANGELES,90008,6,673F3,0,"","","90008, CA",34.00904083251953,-118.34813690185547
8,STM,15,*,SD,2000,"",ABBOTT KINNEY,BL,VENICE DIST ST MTCE YARD,VENICE,90291,6,671H6,10043,"",4237002901,"Venice, Ven., Italy",45.43769836425781,12.31779956817627
