Property ID,Open,Parcel Number,Address,Address2,Description,Project Area,City,latitude,longitude,compiled_address,compiled_lat,compiled_lng
169,Open,5149-010-941,"Grand Avenue & General Thaddeus Kosciuszko Way , Los Angeles, CA",Grand Avenue & General Thaddeus Kosciuszko Way,Air rights,Mid-City,", Los Angeles, CA",34.0534897,-118.2453232,"Grand Ave, Arco, ID 83213",43.6248893737793,-113.30615234375
"","",5151-014-913,225 S. Grand Ave. ,225 S. Grand Ave.,"","","",46.7288849,-117.182742,"Grand Avenue, IA",41.582603454589844,-93.69139862060547
